"id","singular","plural","rule_id","created_at","updated_at"
"1","olie","oliën","3",NULL,NULL
"2","industrie","industrieën","3",NULL,NULL
"3","idee","ideeën","3",NULL,NULL
"4","lid","leden","4",NULL,NULL
"5","smid","smeden","4",NULL,NULL
"6","oog","ogen",NULL,NULL,NULL
"7","schip","schepen","4",NULL,NULL
"8","stad","steden","4",NULL,NULL
"9","gelid","gelederen","5",NULL,NULL
"11","kalf","kalveren","5",NULL,NULL
"12","lam","lammeren","5",NULL,NULL
"13","koe","koeien","6",NULL,NULL
"14","vlo","vlooien","6",NULL,NULL
"15","leerrede","leerredenen","6",NULL,NULL
"16","lende","lendenen","6",NULL,NULL
"17","epos","epos","6",NULL,NULL
"18","genius","geniën","6",NULL,NULL
"19","aanbod","aanbiedingen","6",NULL,NULL
"20","beleg","belegeringen","6",NULL,NULL
"21","dank","dankbetuigingen","8",NULL,NULL
"22","gedrag","gedragingen","6",NULL,NULL
"23","genot","genietingen","6",NULL,NULL
"24","lof","lofbetuigingen","8",NULL,NULL
"25","quaestrix","quaestrices","7",NULL,NULL
"26","matrix","matrices","7",NULL,NULL
"28","weer","weren",NULL,NULL,NULL
"29","man","mannen",NULL,NULL,NULL
"30","ei","eieren",NULL,NULL,NULL
"31","rij","rijen",NULL,NULL,NULL
"32","mogelijkheid","mogelijkheden",NULL,NULL,NULL
"33","adres","adressen",NULL,NULL,NULL
